Name,Year,Global_Sales
Wii Sports,2006.0,82.74
Mario Kart Wii,2008.0,35.82
Wii Sports Resort,2009.0,33.0
Tetris,1989.0,30.26
Wii Play,2006.0,29.02
Duck Hunt,1984.0,28.31
Nintendogs,2005.0,24.76
Mario Kart DS,2005.0,23.42
Wii Fit,2007.0,22.72
Wii Fit Plus,2009.0,22.0
Grand Theft Auto V,2013.0,21.4
Super Mario World,1990.0,20.61
Super Mario Land,1989.0,18.14
Grand Theft Auto V,2013.0,16.38
Grand Theft Auto III,2001.0,13.1
Grand Theft Auto V,2014.0,11.98
Super Mario Galaxy,2007.0,11.52
Grand Theft Auto IV,2008.0,11.02
Gran Turismo,1997.0,10.95
Grand Theft Auto IV,2008.0,10.57
Final Fantasy VII,1997.0,9.72
Donkey Kong Country,1994.0,9.3
Minecraft,2013.0,9.2
Mario Party DS,2007.0,9.02
Super Mario Kart,1992.0,8.76
Wii Party,2010.0,8.49
Final Fantasy X,2001.0,8.05
Final Fantasy VIII,1999.0,7.86
Just Dance,2009.0,7.27
Need for Speed Underground,2003.0,7.2
Crash Bandicoot,1996.0,6.82
Zumba Fitness,2010.0,6.81
Big Brain Academy,2005.0,6.67
Red Dead Redemption,2010.0,6.6
Donkey Kong Country Returns,2010.0,6.59
The Legend of Zelda,1986.0,6.51
Kingdom Hearts,2002.0,6.4
Red Dead Redemption,2010.0,6.34
Super Mario Sunshine,2002.0,6.31
World of Warcraft,2004.0,6.28
Driver,1999.0,6.27
Kinect Sports,2010.0,6.24
Gears of War,2006.0,6.11
Metal Gear Solid,1998.0,6.03
The Last of Us,2013.0,5.99
Final Fantasy XII,2006.0,5.95
LittleBigPlanet,2008.0,5.92
Cooking Mama,2006.0,5.72
Destiny,2014.0,5.65
Tetris,1988.0,5.58
Monster Hunter Freedom Unite,2008.0,5.5
Super Mario Advance,2001.0,5.49
Super Mario World,2001.0,5.46
Pokemon Stadium,1999.0,5.45
Minecraft,2014.0,5.42
Final Fantasy XIII,2009.0,5.36
Pokemon Pinball,1999.0,5.31
Final Fantasy IX,2000.0,5.3
Professor Layton and the Curious Village,2007.0,5.26
Tomb Raider II,1997.0,5.24
Diablo III,2012.0,5.2
Tomodachi Life,2013.0,5.15
Fable III,2010.0,5.13
Microsoft Flight Simulator,1996.0,5.12
Guitar Hero II,2006.0,5.12
Grand Theft Auto V,2014.0,5.08
Resident Evil,1996.0,5.05
Spyro the Dragon,1998.0,5.0
Diddy Kong Racing,1997.0,4.88
God of War III,2010.0,4.84
Crash Team Racing,1999.0,4.79
Tomb Raider,1996.0,4.63
Splatoon,2015.0,4.57
The Last of Us,2014.0,4.55
God of War,2005.0,4.45
Nintendo Land,2012.0,4.44
Sonic the Hedgehog,1991.0,4.34
Kingdom Hearts II,2005.0,4.33
Asteroids,1980.0,4.31
Fable II,2008.0,4.31
Namco Museum,2001.0,4.24
Daxter,2006.0,4.22
EyeToy Play,2003.0,4.2
Street Fighter IV,2009.0,4.19
Teenage Mutant Ninja Turtles,1989.0,4.17
Excitebike,1984.0,4.16
Frogger,1997.0,4.16
Watch Dogs,2014.0,4.14
Street Fighter II Turbo,1992.0,4.1
Carnival Games,2007.0,4.1
God of War II,2007.0,4.07
Tekken Tag Tournament,2000.0,4.05
Minecraft,2014.0,4.02
Golf,1984.0,4.01
Professor Layton and the Diabolical Box,2007.0,4.0
EA Sports Active,2009.0,3.92
Donkey Kong Land,1994.0,3.91
MotorStorm,2006.0,3.88
Dragon Warrior III,1988.0,3.87
Sports Champions,2010.0,3.87
Super Paper Mario,2007.0,3.76
MySims,2007.0,3.69
Friend Collection,2009.0,3.67
Pokemon Snap,1999.0,3.63
The Getaway,2002.0,3.54
Kung Fu,1985.0,3.5
Clubhouse Games,2006.0,3.5
Borderlands,2009.0,3.44
Final Fantasy III,1994.0,3.42
Crash Bash,2000.0,3.39
WWF War Zone,1998.0,3.36
Professor Layton and the Unwound Future,2008.0,3.36
Max Payne,2001.0,3.31
Destiny,2014.0,3.28
Wii Music,2008.0,3.27
Monster Hunter X,2015.0,3.26
Tekken,1995.0,3.24
Baseball,1983.0,3.2
Killer Instinct,1995.0,3.2
Dance Central,2010.0,3.19
Enter the Matrix,2003.0,3.18
Super Mario Maker,2015.0,3.18
Rhythm Heaven,2008.0,3.17
Animal Crossing,2001.0,3.15
Sonic Rush,2005.0,3.15
Star Wars Episode I Racer,1999.0,3.12
Dragon Warrior IV,1990.0,3.12
Heavy Rain,2010.0,3.12
World Class Track Meet,1986.0,3.08
Donkey Kong,1994.0,3.07
Kung Fu Panda,2008.0,3.05
Epic Mickey,2010.0,3.04
Rayman,1995.0,3.03
Star Fox,1993.0,2.99
Devil May Cry,2001.0,2.99
Sonic Heroes,2003.0,2.96
Kirby Super Star Ultra,2008.0,2.96
Street Fighter IV,2009.0,2.95
inFAMOUS,2009.0,2.94
Mass Effect,2007.0,2.93
Titanfall,2014.0,2.9
Sonic Mega Collection Plus,2004.0,2.9
Sega Superstars Tennis,2008.0,2.9
Syphon Filter,1999.0,2.88
Colin McRae Rally,1998.0,2.87
Mortal Kombat,2011.0,2.85
BioShock,2007.0,2.83
Medal of Honor,2010.0,2.83
Metroid Prime,2002.0,2.82
Finding Nemo,2003.0,2.82
Myst,1994.0,2.81
Hot Shots Golf,1997.0,2.79
Mortal Kombat Trilogy,1996.0,2.79
NBA Street,2001.0,2.79
Professor Layton and the Last Specter,2009.0,2.79
Monster Hunter Tri,2011.0,2.79
Jak II,2003.0,2.78
The Sims,2003.0,2.77
Sonic and the Secret Rings,2007.0,2.77
Missile Command,1980.0,2.76
Mario Paint,1992.0,2.75
Metroid,1986.0,2.73
Mortal Kombat X,2015.0,2.7
Mario Party,1998.0,2.7
Mortal Kombat,1992.0,2.67
Medal of Honor,1998.0,2.67
Fable,2004.0,2.66
Hannah Montana,2006.0,2.65
Skylanders Giants,2012.0,2.65
Medal of Honor Heroes,2006.0,2.65
Halo Wars,2009.0,2.63
God of War Collection,2009.0,2.63
Mario Strikers Charged,2007.0,2.62
Medal of Honor,2010.0,2.62
Style Savvy,2008.0,2.61
Harry Potter and the Chamber of Secrets,2002.0,2.61
Streets of Rage,1990.0,2.6
LittleBigPlanet,2009.0,2.58
Art Academy,2010.0,2.57
Dragon Warrior II,1987.0,2.56
Deca Sports,2008.0,2.54
Crazy Taxi,2001.0,2.52
Perfect Dark,2000.0,2.52
Game Party,2007.0,2.52
Dragon Warrior,1986.0,2.52
Pure,2008.0,2.48
